zone,ts,gen_p10,gen_p50,gen_p90
Z2,2025-10-31 13:00:00,1198.9597682547655,1295.2156387880966,1323.8529827221168
Z2,2025-10-31 14:00:00,1141.7221111423066,1179.9246934216428,1216.589617293051
Z2,2025-10-31 15:00:00,943.6860211715278,1018.6539423197786,1040.695061736093
Z2,2025-10-31 16:00:00,988.5074460941129,1032.890240427808,1099.4167851757932
Z2,2025-10-31 17:00:00,862.3991867048425,885.8663779517353,886.8157710967465
Z2,2025-10-31 18:00:00,724.2920169880455,752.2177476621089,779.3051456865784
Z2,2025-10-31 19:00:00,690.3345615727065,715.2554003703266,741.5424779806566
Z2,2025-10-31 20:00:00,682.3406185777352,702.0874946771659,744.9141726260264
Z2,2025-10-31 21:00:00,689.4063652485692,721.6748755999278,753.4244234070692
Z2,2025-10-31 22:00:00,570.6834897626201,604.1623376282984,618.9662894516565
Z2,2025-10-31 23:00:00,588.5605961332409,612.5797612208921,638.0042421071097
Z3,2025-10-30 00:00:00,391.9311572947893,420.3911881360051,442.1107581387325
Z3,2025-10-30 01:00:00,511.2387186485265,527.4674876130845,545.3193623428677
Z3,2025-10-30 02:00:00,509.9223684862807,529.241552622352,538.9732506546683
Z3,2025-10-30 03:00:00,555.9164558570375,554.373688133479,563.280393261453
Z3,2025-10-30 04:00:00,419.2741480150663,447.3361436905586,460.34087846580286
Z3,2025-10-30 05:00:00,420.25975575798986,447.87829766337984,464.16908088718804
Z3,2025-10-30 06:00:00,541.9519910260813,562.4355468292252,593.5145281723234
Z3,2025-10-30 07:00:00,635.9703453995984,681.6588550829504,706.944106828094
Z3,2025-10-30 08:00:00,694.0873735645117,747.1610271819054,723.2448656911789
Z3,2025-10-30 09:00:00,773.0570928015525,807.1725626824815,816.91655747327
Z3,2025-10-30 10:00:00,955.7303127603656,1071.9713359108566,1069.0438689302869
Z3,2025-10-30 11:00:00,921.3371381266046,955.4374420496373,983.1682693463284
Z3,2025-10-30 12:00:00,962.3416600924971,1017.2634423598571,1045.2363549980248
Z3,2025-10-30 13:00:00,971.3900931139821,1065.855567722407,1091.0146484109193
Z3,2025-10-30 14:00:00,892.8926568383449,1037.1386282263725,1037.7057632879782
Z3,2025-10-30 15:00:00,745.999345242074,791.4677305938329,789.5024646962107
Z3,2025-10-30 16:00:00,726.2660266971224,760.4734822015829,796.8903512067244
Z3,2025-10-30 17:00:00,630.0073443980667,688.4928701864341,695.5659487934053
Z3,2025-10-30 18:00:00,581.9030977588335,632.2936729735013,755.5195007421229
Z3,2025-10-30 19:00:00,520.4088546420498,550.440713347196,571.7130940106196
Z3,2025-10-30 20:00:00,542.8044547184837,588.4884450350768,608.4924090923124
Z3,2025-10-30 21:00:00,452.6159408083446,471.2532362155892,489.9325932349846
Z3,2025-10-30 22:00:00,533.2187611547947,563.6443074835813,593.2033637164899
Z3,2025-10-30 23:00:00,480.08972784296003,498.61260564890074,525.4928414692926
Z3,2025-10-31 00:00:00,467.8006418742062,482.30229809509825,498.1913003497422
Z3,2025-10-31 01:00:00,535.8985711544434,553.7317260972376,584.9248175965532
Z3,2025-10-31 02:00:00,471.6877973130973,495.7868303945557,513.9957770331185
Z3,2025-10-31 03:00:00,512.786179536945,517.7738966850243,538.9732506546683
Z3,2025-10-31 04:00:00,432.53438383271765,449.04901528392674,458.9703893259554
Z3,2025-10-31 05:00:00,487.0103132324869,506.24685626441914,523.3233690232099
Z3,2025-10-31 06:00:00,522.4799752365524,548.1037945597889,552.5719293451797
Z3,2025-10-31 07:00:00,501.0513523244856,523.1133349769339,538.5887368276027
Z3,2025-10-31 08:00:00,703.891524818301,724.3450137669398,751.8212225502363
Z3,2025-10-31 09:00:00,699.5316592832833,729.4214548757066,758.5819589034501
Z3,2025-10-31 10:00:00,870.2026397984748,941.5534547732035,965.3312955329103
Z3,2025-10-31 11:00:00,934.8684906571306,940.834643015634,958.4459342838121
Z3,2025-10-31 12:00:00,905.7235612881751,919.4605100951858,937.5810176928261
Z3,2025-10-31 13:00:00,844.916362839531,893.0616287757713,907.3997558493696
Z3,2025-10-31 14:00:00,812.2435052855183,861.0888433262683,875.7242833856825
Z3,2025-10-31 15:00:00,678.7063126789933,733.0603488530592,725.9190871976137
